,Unnamed: 0,Date_reported,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
1203,1203,2020-01-03,China,0,0,0,0
1204,1204,2020-01-04,China,1,1,0,0
1205,1205,2020-01-05,China,0,1,0,0
1206,1206,2020-01-06,China,3,4,0,0
1207,1207,2020-01-07,China,0,4,0,0
1208,1208,2020-01-08,China,0,4,0,0
1209,1209,2020-01-09,China,0,4,0,0
1210,1210,2020-01-10,China,0,4,0,0
1211,1211,2020-01-11,China,0,4,0,0
1212,1212,2020-01-12,China,41,45,1,1
1213,1213,2020-01-13,China,0,45,0,1
1214,1214,2020-01-14,China,0,45,0,1
1215,1215,2020-01-15,China,0,45,0,1
1216,1216,2020-01-16,China,0,45,0,1
1217,1217,2020-01-17,China,4,49,1,2
1218,1218,2020-01-18,China,0,49,0,2
1219,1219,2020-01-19,China,76,125,1,3
1220,1220,2020-01-20,China,77,202,1,4
1221,1221,2020-01-21,China,93,295,2,6
1222,1222,2020-01-22,China,147,442,11,17
1223,1223,2020-01-23,China,132,574,1,18
1224,1224,2020-01-24,China,261,835,8,26
1225,1225,2020-01-25,China,462,1297,16,42
1226,1226,2020-01-26,China,688,1985,14,56
1227,1227,2020-01-27,China,776,2761,26,82
1228,1228,2020-01-28,China,1772,4533,49,131
1229,1229,2020-01-29,China,1464,5997,2,133
1230,1230,2020-01-30,China,1739,7736,38,171
1231,1231,2020-01-31,China,1984,9720,42,213
1232,1232,2020-02-01,China,2101,11821,46,259
1233,1233,2020-02-02,China,2590,14411,102,361
1234,1234,2020-02-03,China,2827,17238,64,425
1235,1235,2020-02-04,China,3233,20471,66,491
1236,1236,2020-02-05,China,3892,24363,72,563
1237,1237,2020-02-06,China,3697,28060,70,633
1238,1238,2020-02-07,China,3151,31211,85,718
1239,1239,2020-02-08,China,3387,34598,87,805
1240,1240,2020-02-09,China,2653,37251,100,905
1241,1241,2020-02-10,China,2984,40235,107,1012
1242,1242,2020-02-11,China,2473,42708,100,1112
1243,1243,2020-02-12,China,2022,44730,5,1117
1244,1244,2020-02-13,China,15152,59882,252,1369
1245,1245,2020-02-14,China,4050,63932,152,1521
1246,1246,2020-02-15,China,2644,66576,142,1663
1247,1247,2020-02-16,China,2008,68584,104,1767
1248,1248,2020-02-17,China,2051,70635,98,1865
1249,1249,2020-02-18,China,1893,72528,139,2004
1250,1250,2020-02-19,China,1750,74278,113,2117
1251,1251,2020-02-20,China,397,74675,122,2239
1252,1252,2020-02-21,China,893,75568,0,2239
1253,1253,2020-02-22,China,825,76393,205,2444
1254,1254,2020-02-23,China,649,77042,2,2446
1255,1255,2020-02-24,China,220,77262,150,2596
1256,1256,2020-02-25,China,517,77779,70,2666
1257,1257,2020-02-26,China,411,78190,52,2718
1258,1258,2020-02-27,China,440,78630,29,2747
1259,1259,2020-02-28,China,329,78959,44,2791
1260,1260,2020-02-29,China,430,79389,47,2838
1261,1261,2020-03-01,China,579,79968,35,2873
1262,1262,2020-03-02,China,206,80174,42,2915
1263,1263,2020-03-03,China,128,80302,33,2948
1264,1264,2020-03-04,China,120,80422,36,2984
1265,1265,2020-03-05,China,143,80565,32,3016
1266,1266,2020-03-06,China,145,80710,29,3045
1267,1267,2020-03-07,China,103,80813,28,3073
1268,1268,2020-03-08,China,46,80859,28,3101
1269,1269,2020-03-09,China,45,80904,23,3124
1270,1270,2020-03-10,China,20,80924,16,3140
1271,1271,2020-03-11,China,31,80955,22,3162
1272,1272,2020-03-12,China,25,80980,11,3173
1273,1273,2020-03-13,China,11,80991,8,3181
1274,1274,2020-03-14,China,30,81021,13,3194
1275,1275,2020-03-15,China,27,81048,10,3204
1276,1276,2020-03-16,China,29,81077,14,3218
1277,1277,2020-03-17,China,40,81117,13,3231
1278,1278,2020-03-18,China,34,81151,11,3242
1279,1279,2020-03-19,China,86,81237,8,3250
1280,1280,2020-03-20,China,63,81300,5,3255
1281,1281,2020-03-21,China,116,81416,6,3261
1282,1282,2020-03-22,China,82,81498,6,3267
1283,1283,2020-03-23,China,103,81601,9,3276
1284,1284,2020-03-24,China,146,81747,7,3283
1285,1285,2020-03-25,China,101,81848,4,3287
1286,1286,2020-03-26,China,113,81961,6,3293
1287,1287,2020-03-27,China,117,82078,5,3298
1288,1288,2020-03-28,China,135,82213,3,3301
1289,1289,2020-03-29,China,128,82341,5,3306
1290,1290,2020-03-30,China,106,82447,4,3310
