,Unnamed: 0,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
1187,211946,POL,Europe,Poland,2020-01-03,0,0,0,0
1188,211947,POL,Europe,Poland,2020-01-04,0,0,0,0
1189,211948,POL,Europe,Poland,2020-01-05,0,0,0,0
1190,211949,POL,Europe,Poland,2020-01-06,0,0,0,0
1191,211950,POL,Europe,Poland,2020-01-07,0,0,0,0
1192,211951,POL,Europe,Poland,2020-01-08,0,0,0,0
1193,211952,POL,Europe,Poland,2020-01-09,0,0,0,0
1194,211953,POL,Europe,Poland,2020-01-10,0,0,0,0
1195,211954,POL,Europe,Poland,2020-01-11,0,0,0,0
1196,211955,POL,Europe,Poland,2020-01-12,0,0,0,0
1197,211956,POL,Europe,Poland,2020-01-13,0,0,0,0
1198,211957,POL,Europe,Poland,2020-01-14,0,0,0,0
1199,211958,POL,Europe,Poland,2020-01-15,0,0,0,0
1200,211959,POL,Europe,Poland,2020-01-16,0,0,0,0
1201,211960,POL,Europe,Poland,2020-01-17,0,0,0,0
1202,211961,POL,Europe,Poland,2020-01-18,0,0,0,0
1203,211962,POL,Europe,Poland,2020-01-19,0,0,0,0
1204,211963,POL,Europe,Poland,2020-01-20,0,0,0,0
1205,211964,POL,Europe,Poland,2020-01-21,0,0,0,0
1206,211965,POL,Europe,Poland,2020-01-22,0,0,0,0
1207,211966,POL,Europe,Poland,2020-01-23,0,0,0,0
1208,211967,POL,Europe,Poland,2020-01-24,0,0,0,0
1209,211968,POL,Europe,Poland,2020-01-25,0,0,0,0
1210,211969,POL,Europe,Poland,2020-01-26,0,0,0,0
1211,211970,POL,Europe,Poland,2020-01-27,0,0,0,0
1212,211971,POL,Europe,Poland,2020-01-28,0,0,0,0
1213,211972,POL,Europe,Poland,2020-01-29,0,0,0,0
1214,211973,POL,Europe,Poland,2020-01-30,0,0,0,0
1215,211974,POL,Europe,Poland,2020-01-31,0,0,0,0
1216,211975,POL,Europe,Poland,2020-02-01,0,0,0,0
1217,211976,POL,Europe,Poland,2020-02-02,0,0,0,0
1218,211977,POL,Europe,Poland,2020-02-03,0,0,0,0
