,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
3504,2020-01-03,SE,Sweden,EURO,0,0,0,0
3505,2020-01-04,SE,Sweden,EURO,0,0,0,0
3506,2020-01-05,SE,Sweden,EURO,0,0,0,0
3507,2020-01-06,SE,Sweden,EURO,0,0,0,0
3508,2020-01-07,SE,Sweden,EURO,0,0,0,0
3509,2020-01-08,SE,Sweden,EURO,0,0,0,0
3510,2020-01-09,SE,Sweden,EURO,0,0,0,0
3511,2020-01-10,SE,Sweden,EURO,0,0,0,0
3512,2020-01-11,SE,Sweden,EURO,0,0,0,0
3513,2020-01-12,SE,Sweden,EURO,0,0,0,0
3514,2020-01-13,SE,Sweden,EURO,0,0,0,0
3515,2020-01-14,SE,Sweden,EURO,0,0,0,0
3516,2020-01-15,SE,Sweden,EURO,0,0,0,0
3517,2020-01-16,SE,Sweden,EURO,0,0,0,0
3518,2020-01-17,SE,Sweden,EURO,0,0,0,0
3519,2020-01-18,SE,Sweden,EURO,0,0,0,0
3520,2020-01-19,SE,Sweden,EURO,0,0,0,0
3521,2020-01-20,SE,Sweden,EURO,0,0,0,0
3522,2020-01-21,SE,Sweden,EURO,0,0,0,0
3523,2020-01-22,SE,Sweden,EURO,0,0,0,0
3524,2020-01-23,SE,Sweden,EURO,0,0,0,0
3525,2020-01-24,SE,Sweden,EURO,0,0,0,0
3526,2020-01-25,SE,Sweden,EURO,0,0,0,0
3527,2020-01-26,SE,Sweden,EURO,0,0,0,0
3528,2020-01-27,SE,Sweden,EURO,0,0,0,0
3529,2020-01-28,SE,Sweden,EURO,0,0,0,0
3530,2020-01-29,SE,Sweden,EURO,0,0,0,0
3531,2020-01-30,SE,Sweden,EURO,0,0,0,0
3532,2020-01-31,SE,Sweden,EURO,1,1,0,0
3533,2020-02-01,SE,Sweden,EURO,0,1,0,0
3534,2020-02-02,SE,Sweden,EURO,0,1,0,0
3535,2020-02-03,SE,Sweden,EURO,0,1,0,0
3536,2020-02-04,SE,Sweden,EURO,0,1,0,0
3537,2020-02-05,SE,Sweden,EURO,0,1,0,0
3538,2020-02-06,SE,Sweden,EURO,0,1,0,0
3539,2020-02-07,SE,Sweden,EURO,0,1,0,0
3540,2020-02-08,SE,Sweden,EURO,0,1,0,0
3541,2020-02-09,SE,Sweden,EURO,0,1,0,0
3542,2020-02-10,SE,Sweden,EURO,0,1,0,0
3543,2020-02-11,SE,Sweden,EURO,0,1,0,0
3544,2020-02-12,SE,Sweden,EURO,0,1,0,0
3545,2020-02-13,SE,Sweden,EURO,0,1,0,0
3546,2020-02-14,SE,Sweden,EURO,0,1,0,0
3547,2020-02-15,SE,Sweden,EURO,0,1,0,0
3548,2020-02-16,SE,Sweden,EURO,0,1,0,0
3549,2020-02-17,SE,Sweden,EURO,0,1,0,0
3550,2020-02-18,SE,Sweden,EURO,0,1,0,0
3551,2020-02-19,SE,Sweden,EURO,0,1,0,0
3552,2020-02-20,SE,Sweden,EURO,0,1,0,0
3553,2020-02-21,SE,Sweden,EURO,0,1,0,0
3554,2020-02-22,SE,Sweden,EURO,0,1,0,0
3555,2020-02-23,SE,Sweden,EURO,0,1,0,0
3556,2020-02-24,SE,Sweden,EURO,0,1,0,0
3557,2020-02-25,SE,Sweden,EURO,0,1,0,0
3558,2020-02-26,SE,Sweden,EURO,0,1,0,0
3559,2020-02-27,SE,Sweden,EURO,0,1,0,0
3560,2020-02-28,SE,Sweden,EURO,1,2,0,0
3561,2020-02-29,SE,Sweden,EURO,1,3,0,0
3562,2020-03-01,SE,Sweden,EURO,8,11,0,0
3563,2020-03-02,SE,Sweden,EURO,3,14,0,0
3564,2020-03-03,SE,Sweden,EURO,0,14,0,0
3565,2020-03-04,SE,Sweden,EURO,5,19,0,0
3566,2020-03-05,SE,Sweden,EURO,13,32,0,0
3567,2020-03-06,SE,Sweden,EURO,30,62,0,0
3568,2020-03-07,SE,Sweden,EURO,25,87,0,0
3569,2020-03-08,SE,Sweden,EURO,59,146,0,0
3570,2020-03-09,SE,Sweden,EURO,33,179,0,0
3571,2020-03-10,SE,Sweden,EURO,46,225,0,0
3572,2020-03-11,SE,Sweden,EURO,101,326,0,0
3573,2020-03-12,SE,Sweden,EURO,98,424,1,1
3574,2020-03-13,SE,Sweden,EURO,196,620,0,1
3575,2020-03-14,SE,Sweden,EURO,151,771,0,1
3576,2020-03-15,SE,Sweden,EURO,152,923,1,2
3577,2020-03-16,SE,Sweden,EURO,71,994,1,3
3578,2020-03-17,SE,Sweden,EURO,69,1063,2,5
3579,2020-03-18,SE,Sweden,EURO,83,1146,2,7
3580,2020-03-19,SE,Sweden,EURO,119,1265,1,8
3581,2020-03-20,SE,Sweden,EURO,145,1410,6,14
3582,2020-03-21,SE,Sweden,EURO,143,1553,7,21
3583,2020-03-22,SE,Sweden,EURO,180,1733,9,30
3584,2020-03-23,SE,Sweden,EURO,136,1869,8,38
3585,2020-03-24,SE,Sweden,EURO,118,1987,11,49
3586,2020-03-25,SE,Sweden,EURO,182,2169,11,60
3587,2020-03-26,SE,Sweden,EURO,230,2399,21,81
3588,2020-03-27,SE,Sweden,EURO,314,2713,22,103
3589,2020-03-28,SE,Sweden,EURO,286,2999,31,134
3590,2020-03-29,SE,Sweden,EURO,365,3364,32,166
3591,2020-03-30,SE,Sweden,EURO,300,3664,35,201
3592,2020-03-31,SE,Sweden,EURO,280,3944,38,239
3593,2020-04-01,SE,Sweden,EURO,416,4360,45,284
3594,2020-04-02,SE,Sweden,EURO,474,4834,48,332
3595,2020-04-03,SE,Sweden,EURO,486,5320,53,385
3596,2020-04-04,SE,Sweden,EURO,554,5874,70,455
3597,2020-04-05,SE,Sweden,EURO,602,6476,80,535
3598,2020-04-06,SE,Sweden,EURO,357,6833,70,605
